Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,78.7,0.4232282276281134,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Can Place Flowers,72.4,0.2889925348974547,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
EASY,Shortest Word Distance,63.9,0.6594968094700921,https://leetcode.com/problems/shortest-word-distance,"Array, String"
EASY,Maximum Depth of Binary Tree,63.9,0.7713814396646365,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Isomorphic Strings,62.1,0.4685795790862557,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Symmetric Tree,61.0,0.5927867908424697,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Perfect Square,60.0,0.4418959712096306,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
EASY,Find Pivot Index,59.1,0.6057028214719556,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Second Minimum Node In a Binary Tree,58.8,0.4532741603206002,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Merge Two Sorted Lists,54.9,0.6684089226593315,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Two Sum,53.4,0.5577699379132833,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Sqrt(x),53.2,0.4037178689790578,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Two Sum III - Data structure design,50.0,0.3868837868274785,https://leetcode.com/problems/two-sum-iii-data-structure-design,"Array, Hash Table, Two Pointers, Design, Data Stream"
EASY,Design HashMap,47.4,0.6589390156242249,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Merge Sorted Array,43.0,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Intersection of Two Arrays,43.0,0.7647430672399825,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Fizz Buzz,43.0,0.7437054757275476,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Intersection of Two Linked Lists,39.7,0.6112536319835228,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Find Smallest Letter Greater Than Target,39.7,0.5407901782986692,https://leetcode.com/problems/find-smallest-letter-greater-than-target,"Array, Binary Search"
EASY,Diameter of Binary Tree,37.4,0.6358636823587297,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Sum of All Odd Length Subarrays,29.6,0.835186957887891,https://leetcode.com/problems/sum-of-all-odd-length-subarrays,"Array, Math, Prefix Sum"
EASY,Moving Average from Data Stream,29.6,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
EASY,Best Time to Buy and Sell Stock,29.6,0.552596541931788,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Same Tree,29.6,0.6512686619125213,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Minimum Time to Type Word Using Special Typewriter,29.6,0.7771306948017184,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter,"String, Greedy"
MEDIUM,Nested List Weight Sum II,94.8,0.6557146449899617,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
