Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Word Abbreviation,95.4,0.3685159507201697,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
EASY,Valid Palindrome II,92.7,0.4302713929500688,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
EASY,Merge Sorted Array,88.9,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Diameter of Binary Tree,87.1,0.6358636823587297,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Two Sum,83.8,0.5577698896587009,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Palindrome,81.7,0.5096356689787139,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,76.4,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,74.9,0.4232281958861704,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Range Sum of BST,71.9,0.8745394306042865,https://leetcode.com/problems/range-sum-of-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Moving Average from Data Stream,69.9,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
EASY,Longest Common Prefix,67.0,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Kth Missing Positive Number,65.7,0.6228376191332494,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
EASY,Add Strings,60.3,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
EASY,Squares of a Sorted Array,59.4,0.7321920614312215,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Remove Duplicates from Sorted Array,59.0,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Closest Binary Search Tree Value,57.5,0.497662689645014,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Palindrome Number,57.0,0.5922455573209394,https://leetcode.com/problems/palindrome-number,Math
EASY,Roman to Integer,56.3,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Missing Ranges,56.0,0.3526494595509856,https://leetcode.com/problems/missing-ranges,Array
EASY,Merge Two Sorted Lists,54.2,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Contains Duplicate II,52.9,0.4904986450077176,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Climbing Stairs,52.8,0.5354071346208594,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Add Binary,50.8,0.5567698718505886,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Plus One,47.5,0.4754760423278756,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Majority Element,46.0,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
