Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Logger Rate Limiter,100.0,0.766103057053701,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Contains Duplicate,89.2,0.6323637027239968,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Contains Duplicate II,89.2,0.4904988267558174,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Summary Ranges,76.7,0.5302484768932422,https://leetcode.com/problems/summary-ranges,Array
EASY,Best Time to Buy and Sell Stock,61.3,0.5525963419027548,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,57.2,0.423228375756834,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Implement Queue using Stacks,52.3,0.6806078349365677,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
EASY,Merge Sorted Array,52.3,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,To Be Or Not To Be,52.3,0.6295807994256238,https://leetcode.com/problems/to-be-or-not-to-be,
MEDIUM,Cache With Time Limit,100.0,0.7578738827979018,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Merge Intervals,100.0,0.4939523849309626,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Koko Eating Bananas,89.2,0.4906728258268568,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Meeting Rooms II,88.1,0.5214171545868618,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Random Pick with Weight,85.8,0.4827836751158982,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Flatten Nested List Iterator,80.2,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,LRU Cache,76.7,0.45214645870656,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Time Based Key-Value Store,76.7,0.4936630449185106,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Top K Frequent Elements,76.7,0.6456597249158955,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Longest Substring Without Repeating Characters,73.2,0.3693617406358928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Word Search,73.2,0.452669635264123,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Network Delay Time,64.1,0.5744231558987412,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Word Break,64.1,0.4827378020649074,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Daily Temperatures,61.3,0.6736501174296972,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Insert Delete GetRandom O(1),61.3,0.5499187409631957,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Top K Frequent Words,61.3,0.592771943363307,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Course Schedule II,57.2,0.5342350029047974,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search in Rotated Sorted Array,57.2,0.4283722142038899,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Remove to Make Valid Parentheses,52.3,0.7074652447295087,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Rotate Array,52.3,0.4302138810363553,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Rotate Image,52.3,0.7790166005161556,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Spiral Matrix,52.3,0.539397306376751,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Coin Change,48.3,0.4649548561668961,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Generate Parentheses,48.3,0.7713287456277772,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Contains Duplicate III,100.0,0.236334246913539,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
HARD,Reconstruct Itinerary,100.0,0.4360564496598489,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,First Missing Positive,92.2,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Number of Flowers in Full Bloom,52.3,0.5717535511066795,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
HARD,Text Justification,52.3,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
