Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Power of Two,100.0,0.4838037051534944,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Closest Binary Search Tree Value,82.5,0.4976615222906593,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Reverse Linked List,82.5,0.7920656598058967,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Best Time to Buy and Sell Stock,57.8,0.5525963845708123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Complement of Base 10 Integer,57.8,0.6070765922229309,https://leetcode.com/problems/complement-of-base-10-integer,Bit Manipulation
EASY,Merge Two Sorted Lists,57.8,0.6684090056943416,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Verifying an Alien Dictionary,57.8,0.555729966970002,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
MEDIUM,LRU Cache,100.0,0.4521461104192241,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Distinct Islands,100.0,0.6225551999482754,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Meeting Rooms II,94.4,0.5214164447683243,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Course Schedule II,92.9,0.5342350291611208,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Design Log Storage System,89.1,0.5919462037688639,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Number of Islands,89.1,0.623199591008705,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Cheapest Flights Within K Stops,88.6,0.4039900534826982,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Min Stack,84.9,0.5644513974486727,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,One Edit Distance,84.9,0.3447769688887125,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Valid Sudoku,84.9,0.6227676961475801,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Basic Calculator II,83.4,0.4581138691872612,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Word Search,83.4,0.4526695178423744,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Binary Tree Vertical Order Traversal,82.5,0.571412329907316,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Combination Sum,82.5,0.7467467958581016,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Combination Sum II,82.5,0.5767452548332938,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Combination Sum IV,82.5,0.5464349476779554,https://leetcode.com/problems/combination-sum-iv,"Array, Dynamic Programming"
MEDIUM,Game of Life,82.5,0.7141499668480139,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Largest Merge Of Two Strings,82.5,0.5132354742201305,https://leetcode.com/problems/largest-merge-of-two-strings,"Two Pointers, String, Greedy"
MEDIUM,Remove K Digits,82.5,0.3494044611317414,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Reverse Words in a String,82.5,0.5191329339866777,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,String Compression,82.5,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Ternary Expression Parser,82.5,0.619930945772121,https://leetcode.com/problems/ternary-expression-parser,"String, Stack, Recursion"
MEDIUM,Unique Binary Search Trees,82.5,0.6244520536210353,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Amount of Time for Binary Tree to Be Infected,77.2,0.6373515517663223,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Minimum Number of Keypresses,77.2,0.7126692341287172,https://leetcode.com/problems/minimum-number-of-keypresses,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Decode Ways,69.2,0.3653097375147231,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Accounts Merge,69.1,0.5957992244722102,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Course Schedule,69.1,0.4923435953845118,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Edit Distance,69.1,0.5878982412660271,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Evaluate Division,69.1,0.6314695091079937,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Insert Delete GetRandom O(1),69.1,0.5499185329837445,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Jump Game III,69.1,0.6603717968394102,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
MEDIUM,Max Consecutive Ones III,69.1,0.6593936372054472,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Score of Parentheses,69.1,0.6371908051071794,https://leetcode.com/problems/score-of-parentheses,"String, Stack"
MEDIUM,Shortest Bridge,69.1,0.5864829574238846,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Merge Intervals,59.6,0.4939527621691668,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,The Maze,59.6,0.5951548421014023,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Reorder List,59.0,0.6250476843297371,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Search in Rotated Sorted Array,59.0,0.4283721126430053,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Car Fleet,57.8,0.5347426286997168,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Custom Sort String,57.8,0.7200455390359645,https://leetcode.com/problems/custom-sort-string,"Hash Table, String, Sorting"
MEDIUM,Design Browser History,57.8,0.7774686768883133,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
MEDIUM,Exclusive Time of Functions,57.8,0.6479177009848633,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Find Peak Element,57.8,0.4650921818372851,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Flip String to Monotone Increasing,57.8,0.6159572969522228,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming"
MEDIUM,Group Anagrams,57.8,0.7092883082997726,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,K Closest Points to Origin,57.8,0.6793958596907643,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Knight Dialer,57.8,0.6120772078876277,https://leetcode.com/problems/knight-dialer,Dynamic Programming
MEDIUM,Longest String Chain,57.8,0.6201512673699018,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Maximize Distance to Closest Person,57.8,0.4898732183487074,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Maximum Subarray,57.8,0.5209979085909399,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Minimize Result by Adding Parentheses to Expression,57.8,0.6753303483673693,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
MEDIUM,Minimum Area Rectangle,57.8,0.5500425559774781,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
MEDIUM,Minimum Cost For Tickets,57.8,0.6741371575291961,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Minimum Remove to Make Valid Parentheses,57.8,0.7074652447295087,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Movie Rating,57.8,0.4151400608871544,https://leetcode.com/problems/movie-rating,Database
MEDIUM,Product of Array Except Self,57.8,0.6777997509839631,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Random Pick with Weight,57.8,0.4827836751158982,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Reorder Data in Log Files,57.8,0.5676451383756557,https://leetcode.com/problems/reorder-data-in-log-files,"Array, String, Sorting"
MEDIUM,Search Suggestions System,57.8,0.6505032264917545,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Search a 2D Matrix,57.8,0.5228958306958686,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Search a 2D Matrix II,57.8,0.5522251243876155,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Shortest Path in Binary Matrix,57.8,0.49788745758374,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Snapshot Array,57.8,0.3666543001837093,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Subarray Sum Equals K,57.8,0.4547620834300719,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Top K Frequent Elements,57.8,0.6456596310666731,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Nested List Weight Sum,42.3,0.8554006889777146,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
HARD,Bus Routes,100.0,0.4695297092963377,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Making A Large Island,100.0,0.5489046988177128,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Bricks Falling When Hit,97.7,0.3572389298699115,https://leetcode.com/problems/bricks-falling-when-hit,"Array, Union Find, Matrix"
HARD,Minimum Window Substring,95.9,0.4535070340139271,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Ladder,94.4,0.4281182673737007,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Word Break II,89.1,0.5364539672639569,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
HARD,Alien Dictionary,84.9,0.3667370231009105,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Valid Arrangement of Pairs,83.4,0.6626068003487359,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Burst Balloons,82.5,0.6131500044712985,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
HARD,Frog Jump,82.5,0.4655838202746627,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
HARD,Least Operators to Express Number,82.5,0.4840297942179017,https://leetcode.com/problems/least-operators-to-express-number,"Math, Dynamic Programming, Memoization"
HARD,Sudoku Solver,82.5,0.6390861285730938,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Wildcard Matching,82.5,0.2989832621421184,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
HARD,Word Abbreviation,82.5,0.61901921257251,https://leetcode.com/problems/word-abbreviation,"Array, String, Greedy, Trie, Sorting"
HARD,Design a Text Editor,77.2,0.4713807144713662,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Minimum Time to Complete All Tasks,77.2,0.377462472977499,https://leetcode.com/problems/minimum-time-to-complete-all-tasks,"Array, Binary Search, Stack, Greedy, Sorting"
HARD,Number of Islands II,77.2,0.4012685422493824,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
HARD,Parallel Courses III,77.2,0.6674963944974485,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Shortest Path in a Grid with Obstacles Elimination,77.2,0.4560618572179266,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
HARD,Best Time to Buy and Sell Stock III,76.0,0.5112080799206736,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,69.1,0.4381459230882614,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Reconstruct Itinerary,69.1,0.4360563370358856,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Word Search II,59.6,0.3732633211647155,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Number of Ways to Form a Target String Given a Dictionary,59.0,0.570646521775689,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
HARD,Basic Calculator III,57.8,0.52469160116735,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
HARD,Binary Tree Maximum Path Sum,57.8,0.412242800105891,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Build Binary Expression Tree From Infix Expression,57.8,0.624648629655657,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression,"String, Stack, Tree, Binary Tree"
HARD,Longest Increasing Path in a Matrix,57.8,0.5534762586302827,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Max Stack,57.8,0.4553177840865414,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,Maximum Frequency Stack,57.8,0.6620493032659615,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
HARD,Minimum Number of Refueling Stops,57.8,0.405574587771098,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Shortest Distance from All Buildings,57.8,0.4437276667084348,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
