Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,90.4,0.557769903717251,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Squares of a Sorted Array,88.0,0.7321922364201385,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,78.5,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Roman to Integer,66.9,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Sorted Array,66.0,0.5291951450619177,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,66.0,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Remove Element,62.2,0.600316358048653,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Valid Palindrome,59.3,0.5096357249551178,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Valid Parentheses,59.2,0.4232282064668211,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Sqrt(x),59.2,0.4037179345456713,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Merge Two Sorted Lists,59.2,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Maximum Depth of Binary Tree,56.5,0.7713813520613833,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Remove Duplicates from Sorted Array,55.7,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,55.7,0.449716000865219,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Palindrome Number,51.4,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math
EASY,Climbing Stairs,51.4,0.5354070673548961,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Plus One,49.0,0.4754760423278756,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Search Insert Position,49.0,0.4901241638473952,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Length of Last Word,43.0,0.5631926112536397,https://leetcode.com/problems/length-of-last-word,String
EASY,Linked List Cycle,39.2,0.5257062260569889,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Pascal's Triangle,39.2,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Add Binary,34.6,0.5567701348180015,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Minimum Depth of Binary Tree,28.9,0.506666811649461,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Binary Tree Inorder Traversal,28.9,0.7858399006715053,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
EASY,Balanced Binary Tree,21.1,0.5534202381170411,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,100.0,0.5675059020130396,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,My Calendar I,100.0,0.5814622694060329,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Product of Array Except Self,97.0,0.6777994606301018,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Construct Quad Tree,92.0,0.7711734363733846,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,The Maze,91.1,0.5951548421014023,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,The Maze II,88.8,0.5420150302104503,https://leetcode.com/problems/the-maze-ii,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Number of Islands,88.0,0.6231992072109731,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Course Schedule II,86.3,0.5342350291611208,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Rotating the Box,84.7,0.7909813050714205,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Maximum Coin Collection ,80.7,0.523860303918955,https://leetcode.com/problems/maximum-coin-collection,"Array, Dynamic Programming"
MEDIUM,Evaluate Division,80.7,0.6314695091079937,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Coin Change,78.5,0.4649544340785128,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Design Hit Counter,76.6,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Word Search,76.0,0.4526692626904781,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Number of Black Blocks,76.0,0.3861177250670604,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Kth Smallest Element in a BST,73.3,0.7532956790739447,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Spiral Matrix,70.2,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Valid Sudoku,68.7,0.6227675793740958,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Group Anagrams,67.8,0.7092881169411895,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,LRU Cache,67.0,0.4521455649085911,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,67.0,0.6194290206869442,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Shuffle an Array,67.0,0.5904289804092742,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
MEDIUM,Add Two Numbers,66.0,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Letter Combinations of a Phone Number,64.0,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Generate Parentheses,62.9,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Insert Interval,62.3,0.4347361196230839,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Random Pick with Weight,62.3,0.4827836751158982,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Leftmost Column with at Least a One,62.3,0.5493977755699853,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,3Sum,62.2,0.370709501810564,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,60.7,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Word Break,60.6,0.4827377619034214,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Find Minimum in Rotated Sorted Array,60.1,0.5264825291581084,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Adjacent Elements With the Same Color,60.1,0.5575544433923982,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Count Nice Pairs in an Array,60.1,0.4853582921277765,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
