#,Title,Difficulty,Max Frequency Score,Acceptance Rate,Topics,LeetCode Link
1,Two Sum,EASY,100.0,0.5577699165086937,"Array, Hash Table",Solve Problem
2,Split the Array,EASY,80.8,0.5922734052667847,"Array, Hash Table, Counting",Solve Problem
3,Longest Common Prefix,EASY,80.1,0.4548305774598658,"String, Trie",Solve Problem
4,Best Time to Buy and Sell Stock,EASY,78.7,0.552596541931788,"Array, Dynamic Programming",Solve Problem
5,Majority Element,EASY,78.7,0.6574028018936169,"Array, Hash Table, Divide and Conquer, Sorting, Counting",Solve Problem
6,Merge Sorted Array,EASY,72.7,0.5291952521829845,"Array, Two Pointers, Sorting",Solve Problem
7,Climbing Stairs,EASY,69.9,0.5354071840932856,"Math, Dynamic Programming, Memoization",Solve Problem
8,Palindrome Number,EASY,69.6,0.5922454353509216,Math,Solve Problem
9,Valid Parentheses,EASY,67.6,0.4232282382087554,"String, Stack",Solve Problem
10,Remove Duplicates from Sorted Array,EASY,64.4,0.6035551873801481,"Array, Two Pointers",Solve Problem
11,Remove Element,EASY,64.4,0.600316358048653,"Array, Two Pointers",Solve Problem
12,Roman to Integer,EASY,62.7,0.6486627884371093,"Hash Table, Math, String",Solve Problem
13,Merge Two Sorted Lists,EASY,61.7,0.6684088801523707,"Linked List, Recursion",Solve Problem
14,Plus One,EASY,57.5,0.4754763031468927,"Array, Math",Solve Problem
15,Sqrt(x),EASY,51.7,0.4037181467115527,"Math, Binary Search",Solve Problem
16,Search Insert Position,EASY,46.1,0.4901243579627091,"Array, Binary Search",Solve Problem
17,Find the Index of the First Occurrence in a String,EASY,45.2,0.4497159539277782,"Two Pointers, String, String Matching",Solve Problem
18,Length of Last Word,EASY,43.8,0.5631924456525931,String,Solve Problem
19,Symmetric Tree,EASY,38.3,0.5927867908424697,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Solve Problem
20,Binary Tree Inorder Traversal,EASY,38.3,0.7858399541084903,"Stack, Tree, Depth-First Search, Binary Tree",Solve Problem
21,Balanced Binary Tree,EASY,34.8,0.5534206156043029,"Tree, Depth-First Search, Binary Tree",Solve Problem
22,Same Tree,EASY,34.8,0.6512685923910883,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Solve Problem
23,Add Binary,EASY,34.8,0.5567702663015909,"Math, String, Bit Manipulation, Simulation",Solve Problem
24,Remove Duplicates from Sorted List,EASY,30.6,0.5487081617461452,Linked List,Solve Problem
25,Maximum Depth of Binary Tree,EASY,30.6,0.7713815272678225,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Solve Problem
26,Path Sum,EASY,25.2,0.5300475989532051,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Solve Problem
27,Convert Sorted Array to Binary Search Tree,EASY,18.2,0.7407934506434607,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",Solve Problem
28,Minimum Depth of Binary Tree,EASY,18.2,0.5066668022955421,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Solve Problem
29,Top K Frequent Words,MEDIUM,100.0,0.592771260185311,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",Solve Problem
30,Top K Frequent Elements,MEDIUM,92.0,0.6456596965737327,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",Solve Problem
31,Maximum Product Subarray,MEDIUM,92.0,0.3494161479461919,"Array, Dynamic Programming",Solve Problem
32,LRU Cache,MEDIUM,91.1,0.4521456257537392,"Hash Table, Linked List, Design, Doubly-Linked List",Solve Problem
33,Longest Repeating Character Replacement,MEDIUM,80.8,0.5721163769892559,"Hash Table, String, Sliding Window",Solve Problem
34,Integer to Roman,MEDIUM,78.7,0.6861925885666443,"Hash Table, Math, String",Solve Problem
35,Rotting Oranges,MEDIUM,78.7,0.566184675573941,"Array, Breadth-First Search, Matrix",Solve Problem
36,Product of Array Except Self,MEDIUM,78.7,0.6777995792305304,"Array, Prefix Sum",Solve Problem
37,Decode Ways,MEDIUM,78.7,0.3653098286175434,"String, Dynamic Programming",Solve Problem
38,3Sum,MEDIUM,78.6,0.3707094094916058,"Array, Two Pointers, Sorting",Solve Problem
39,Longest Substring Without Repeating Characters,MEDIUM,75.7,0.3693616958685081,"Hash Table, String, Sliding Window",Solve Problem
40,Reverse Integer,MEDIUM,74.8,0.3030892269554824,Math,Solve Problem
41,Add Two Numbers,MEDIUM,70.5,0.4622507291808296,"Linked List, Math, Recursion",Solve Problem
42,Group Anagrams,MEDIUM,69.0,0.7092883319407988,"Array, Hash Table, String, Sorting",Solve Problem
43,Container With Most Water,MEDIUM,65.3,0.5778283165036205,"Array, Two Pointers, Greedy",Solve Problem
44,Longest Palindromic Substring,MEDIUM,64.4,0.358461107628481,"Two Pointers, String, Dynamic Programming",Solve Problem
45,Next Permutation,MEDIUM,64.4,0.4305775328017951,"Array, Two Pointers",Solve Problem
46,Spiral Matrix,MEDIUM,62.7,0.5393976057408939,"Array, Matrix, Simulation",Solve Problem
47,Set Matrix Zeroes,MEDIUM,60.7,0.6070884864800216,"Array, Hash Table, Matrix",Solve Problem
48,Jump Game,MEDIUM,58.5,0.3947919786729132,"Array, Dynamic Programming, Greedy",Solve Problem
49,Generate Parentheses,MEDIUM,57.3,0.7713286717803378,"String, Dynamic Programming, Backtracking",Solve Problem
50,Letter Combinations of a Phone Number,MEDIUM,56.1,0.6385755061179695,"Hash Table, String, Backtracking",Solve Problem
51,Rotate Image,MEDIUM,56.1,0.7790165261990751,"Array, Math, Matrix",Solve Problem
52,Merge Intervals,MEDIUM,53.3,0.4939526038842514,"Array, Sorting",Solve Problem
53,Find First and Last Position of Element in Sorted Array,MEDIUM,53.3,0.4682875947454554,"Array, Binary Search",Solve Problem
54,Permutations,MEDIUM,53.3,0.8066012553007272,"Array, Backtracking",Solve Problem
55,Remove Duplicates from Sorted Array II,MEDIUM,51.7,0.6290186962409604,"Array, Two Pointers",Solve Problem
