No.,Status,Difficulty,Title,Max Frequency,Accept Rate,Topics,Link
1,,EASY,Add Binary,45.8,55.68%,"Math, String, Bit Manipulation, Simulation",https://leetcode.com/problems/add-binary
2,,EASY,Best Time to Buy and Sell Stock,92.5,55.26%,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock
3,,EASY,Binary Tree Inorder Traversal,38.8,78.58%,"Stack, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-inorder-traversal
4,,EASY,Climbing Stairs,69.8,53.54%,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs
5,,EASY,Contains Duplicate,50.9,63.24%,"Array, Hash Table, Sorting",https://leetcode.com/problems/contains-duplicate
6,,EASY,Convert Sorted Array to Binary Search Tree,40.6,74.08%,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
7,,EASY,Create Hello World Function,48.4,82.13%,,https://leetcode.com/problems/create-hello-world-function
8,,EASY,Design Parking System,40.6,87.08%,"Design, Simulation, Counting",https://leetcode.com/problems/design-parking-system
9,,EASY,Diameter of Binary Tree,28.4,63.59%,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/diameter-of-binary-tree
10,,EASY,Divisible and Non-divisible Sums Difference,40.6,91.28%,Math,https://leetcode.com/problems/divisible-and-non-divisible-sums-difference
11,,EASY,Find the Index of the First Occurrence in a String,52.8,44.97%,"Two Pointers, String, String Matching",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string
12,,EASY,First Unique Character in a String,38.6,63.7%,"Hash Table, String, Queue, Counting",https://leetcode.com/problems/first-unique-character-in-a-string
13,,EASY,Fizz Buzz,64.0,74.37%,"Math, String, Simulation",https://leetcode.com/problems/fizz-buzz
14,,EASY,Flood Fill,64.0,66.48%,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/flood-fill
15,,EASY,Happy Number,40.6,58.07%,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number
16,,EASY,Invert Binary Tree,58.2,79.02%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/invert-binary-tree
17,,EASY,Length of Last Word,43.2,56.32%,String,https://leetcode.com/problems/length-of-last-word
18,,EASY,Linked List Cycle,28.9,52.57%,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle
19,,EASY,Longest Common Prefix,70.9,45.48%,"String, Trie",https://leetcode.com/problems/longest-common-prefix
20,,EASY,Majority Element,53.0,65.74%,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element
21,,EASY,Maximum Depth of Binary Tree,35.3,77.14%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree
22,,EASY,Merge Sorted Array,82.8,52.92%,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array
23,,EASY,Merge Two Sorted Lists,66.0,66.84%,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists
24,,EASY,Min Cost Climbing Stairs,50.9,67.2%,"Array, Dynamic Programming",https://leetcode.com/problems/min-cost-climbing-stairs
25,,EASY,Missing Number,50.8,70.07%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",https://leetcode.com/problems/missing-number
26,,EASY,Move Zeroes,58.2,62.8%,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes
27,,EASY,Next Greater Element I,50.9,74.51%,"Array, Hash Table, Stack, Monotonic Stack",https://leetcode.com/problems/next-greater-element-i
28,,EASY,Palindrome Number,67.4,59.22%,Math,https://leetcode.com/problems/palindrome-number
29,,EASY,Pascal's Triangle,50.9,77.02%,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle
30,,EASY,Path Sum,24.7,53.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/path-sum
31,,EASY,Plus One,51.2,47.55%,"Array, Math",https://leetcode.com/problems/plus-one
32,,EASY,Remove Duplicates from Sorted Array,62.9,60.36%,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array
33,,EASY,Remove Duplicates from Sorted List,41.2,54.87%,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list
34,,EASY,Remove Element,53.1,60.03%,"Array, Two Pointers",https://leetcode.com/problems/remove-element
35,,EASY,Roman to Integer,67.8,64.87%,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer
36,,EASY,Same Tree,43.9,65.13%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/same-tree
37,,EASY,Search Insert Position,51.1,49.01%,"Array, Binary Search",https://leetcode.com/problems/search-insert-position
38,,EASY,Single Number,50.9,75.97%,"Array, Bit Manipulation",https://leetcode.com/problems/single-number
39,,EASY,Sqrt(x),51.2,40.37%,"Math, Binary Search",https://leetcode.com/problems/sqrtx
40,,EASY,Symmetric Tree,42.3,59.28%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/symmetric-tree
41,,EASY,Two Sum,100.0,55.78%,"Array, Hash Table",https://leetcode.com/problems/two-sum
42,,EASY,Valid Anagram,48.4,66.66%,"Hash Table, String, Sorting",https://leetcode.com/problems/valid-anagram
43,,EASY,Valid Palindrome,40.2,50.96%,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome
44,,EASY,Valid Parentheses,77.7,42.32%,"String, Stack",https://leetcode.com/problems/valid-parentheses
45,,MEDIUM,3Sum,76.7,37.07%,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum
46,,MEDIUM,3Sum Closest,44.6,46.89%,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum-closest
47,,MEDIUM,4Sum,57.6,38.22%,"Array, Two Pointers, Sorting",https://leetcode.com/problems/4sum
48,,MEDIUM,Add Two Numbers,79.2,46.23%,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers
49,,MEDIUM,Analyze User Website Visit Pattern,50.9,43.73%,"Array, Hash Table, Sorting",https://leetcode.com/problems/analyze-user-website-visit-pattern
50,,MEDIUM,Asteroid Collision,50.8,45.5%,"Array, Stack, Simulation",https://leetcode.com/problems/asteroid-collision
51,,MEDIUM,Basic Calculator II,34.1,45.81%,"Math, String, Stack",https://leetcode.com/problems/basic-calculator-ii
