Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,92.9,0.5525965778870825,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,75.9,0.4548305595040032,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Palindrome Number,70.0,0.5922454522673172,https://leetcode.com/problems/palindrome-number,Math
EASY,First Unique Character in a String,69.3,0.6369545656040947,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Climbing Stairs,67.5,0.5354071840932856,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Valid Parentheses,65.9,0.4232282567926559,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,63.9,0.5577699666639316,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Palindrome,63.9,0.5096357226652383,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Pascal's Triangle,62.3,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Sqrt(x),58.6,0.4037178718652037,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Remove Element,58.6,0.600316358048653,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Search Insert Position,57.6,0.4901242285525163,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Flood Fill,57.2,0.6647634560753026,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Merge Sorted Array,57.2,0.5291951450619177,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Reverse Linked List,57.2,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Move Zeroes,57.2,0.6280400947352507,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Add Binary,54.0,0.5567701348180015,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Symmetric Tree,48.0,0.5927867908424697,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
