S.No,Status,Difficulty,Title,Problem Link,Topics,Frequency,Acc. Rate,Notes / Remarks
1,,Easy,Add Two Integers,https://leetcode.com/problems/add-two-integers,Math,36.0,88.1%,
2,,Easy,Assign Cookies,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting",36.0,53.9%,
3,,Easy,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",43.1,55.3%,
4,,Easy,Can Place Flowers,https://leetcode.com/problems/can-place-flowers,"Array, Greedy",62.8,28.9%,
5,,Easy,Crawler Log Folder,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack",43.6,71.6%,
6,,Easy,Find Words That Can Be Formed by Characters,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting",30.0,71.1%,
7,,Easy,Find the Width of Columns of a Grid,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix",73.6,69.3%,
8,,Easy,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream",36.0,59.9%,
9,,Easy,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream",43.1,76.6%,
10,,Easy,Maximum Area of Longest Diagonal Rectangle,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array,66.3,36.5%,
11,,Easy,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",43.6,52.9%,
12,,Easy,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table",43.6,55.8%,
13,,Easy,Valid Anagram,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",36.0,66.7%,
14,,Medium,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",36.0,37.1%,
15,,Medium,Boats to Save People,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting",43.6,60.3%,
16,,Medium,Coin Change,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",36.0,46.5%,
17,,Medium,Container With Most Water,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",36.0,57.8%,
18,,Medium,Count Vowel Strings in Ranges,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum",43.1,67.9%,
19,,Medium,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie",43.1,47.1%,
20,,Medium,Design File System,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie",62.1,64.1%,
21,,Medium,Design Hit Counter,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream",36.0,69.2%,
22,,Medium,Design Snake Game,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation",78.7,39.7%,
23,,Medium,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation",43.6,58.6%,
24,,Medium,Design a Food Rating System,https://leetcode.com/problems/design-a-food-rating-system,"Array, Hash Table, String, Design, Heap (Priority Queue), Ordered Set",43.1,44.9%,
25,,Medium,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",54.6,46.8%,
26,,Medium,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",36.0,48.7%,
27,,Medium,Group Anagrams,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",64.3,70.9%,
28,,Medium,High-Access Employees,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting",78.7,46.1%,
29,,Medium,Integer to Roman,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",43.6,68.6%,
30,,Medium,Jump Game II,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",36.0,41.5%,
31,,Medium,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",69.9,49.1%,
32,,Medium,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",43.6,47.0%,
33,,Medium,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",59.6,57.8%,
34,,Medium,Longest String Chain,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",64.3,62.0%,
35,,Medium,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",43.6,36.9%,
36,,Medium,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",69.9,66.8%,
37,,Medium,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree",43.1,82.5%,
38,,Medium,Majority Element II,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting",59.6,54.4%,
39,,Medium,Make Lexicographically Smallest Array by Swapping Elements,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting",36.0,60.3%,
40,,Medium,Maximum Good Subarray Sum,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum",36.0,20.3%,
41,,Medium,Maximum Number of Occurrences of a Substring,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window",43.6,53.4%,
42,,Medium,Maximum Square Area by Removing Fences From a Field,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration",66.3,24.1%,
43,,Medium,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",30.0,52.1%,
44,,Medium,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",93.8,52.1%,
45,,Medium,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting",54.6,49.4%,
46,,Medium,Minimum Cost to Convert String I,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path",36.0,57.6%,
47,,Medium,Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary,Database,50.8,38.0%,
48,,Medium,Online Election,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design",53.2,51.8%,
49,,Medium,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting",36.0,53.2%,
50,,Medium,Rank Teams by Votes,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting",54.6,59.4%,
51,,Medium,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",36.0,65.1%,
52,,Medium,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search",36.0,59.2%,
53,,Medium,Smallest Missing Non-negative Integer After Operations,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy",36.0,39.9%,
54,,Medium,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",100.0,48.2%,
55,,Medium,The Time When the Network Becomes Idle,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph",60.5,53.7%,
56,,Medium,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",54.6,64.6%,
57,,Medium,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix",36.0,43.2%,
58,,Medium,Word Search,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",43.1,45.3%,
59,,Hard,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List",85.0,44.1%,
60,,Hard,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix",66.3,37.9%,
61,,Hard,Count Vowels Permutation,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming,43.6,61.5%,
62,,Hard,Last Day Where You Can Still Cross,https://leetcode.com/problems/last-day-where-you-can-still-cross,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Matrix",54.6,62.3%,
63,,Hard,Maximum Path Quality of a Graph,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph",36.0,59.7%,
64,,Hard,Minimum Cost to Convert String II,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path",36.0,25.5%,
65,,Hard,Minimum Time to Visit a Cell In a Grid,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",36.0,56.8%,
66,,Hard,Number of Digit One,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion",36.0,36.0%,
67,,Hard,Number of Possible Sets of Closing Branches,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path",36.0,48.4%,
68,,Hard,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting",56.2,37.3%,
69,,Hard,String Transformation,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching",53.2,25.1%,
70,,Hard,Tallest Billboard,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming",36.0,51.9%,
71,,Hard,Text Justification,https://leetcode.com/problems/text-justification,"Array, String, Simulation",62.8,48.1%,
72,,Hard,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",36.0,65.1%,
73,,Hard,Verbal Arithmetic Puzzle,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking",36.0,34.8%,
