Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.557769945892896,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Anagram,86.9,0.6666089667345674,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Valid Parentheses,83.2,0.4232282170474687,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,81.4,0.5291951450619177,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Contains Duplicate,80.7,0.6323636777340309,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Best Time to Buy and Sell Stock,79.4,0.5525965396561395,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Palindrome Number,76.7,0.5922454691837191,https://leetcode.com/problems/palindrome-number,Math
EASY,Longest Common Prefix,75.3,0.4548305595040032,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Remove Duplicates from Sorted Array,75.1,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Roman to Integer,73.6,0.6486627416542443,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,69.6,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Create Hello World Function,65.5,0.8212977812647828,https://leetcode.com/problems/create-hello-world-function,
EASY,Climbing Stairs,65.1,0.5354071257240982,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Majority Element,64.3,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Remove Element,63.7,0.600316358048653,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Merge Strings Alternately,63.5,0.8222964639886224,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Pascal's Triangle,63.5,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Reverse Linked List,63.5,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Sqrt(x),61.6,0.4037178718652037,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Max Consecutive Ones,61.5,0.6248232110227296,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Add Binary,61.5,0.5567701348180015,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Students and Examinations,61.5,0.604974385676898,https://leetcode.com/problems/students-and-examinations,Database
EASY,Fibonacci Number,61.5,0.7294495015845286,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Maximum Difference Between Increasing Elements,61.5,0.6610053682139234,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
EASY,Generate Tag for Video Caption,61.5,0.3135055575293102,https://leetcode.com/problems/generate-tag-for-video-caption,"String, Simulation"
EASY,Find the Index of the First Occurrence in a String,61.1,0.449716000865219,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Next Greater Element I,54.5,0.7451247376157817,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Search Insert Position,54.2,0.4901241638473952,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Check if Array Is Sorted and Rotated,53.2,0.5507495223867797,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Remove Duplicates from Sorted List,52.0,0.5487080353115535,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
