Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,67.4,0.5525965329429721,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Fizz Buzz,52.2,0.7437057263879774,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Climbing Stairs,47.5,0.5354071662997495,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Sqrt(x),45.9,0.4037181467115527,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Moving Average from Data Stream,45.9,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,100.0,0.2981855832758111,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
MEDIUM,Delete and Earn,94.2,0.5672788571185733,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Minimum Knight Moves,94.2,0.4132915677780459,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
MEDIUM,Palindromic Substrings,91.2,0.7167859571435372,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Intervals,83.4,0.4939525284365195,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,80.8,0.5016214325632321,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Number of Good Binary Strings,77.4,0.5249371022643184,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
MEDIUM,Maximum Total Damage With Spell Casting,76.4,0.2774327122153209,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
MEDIUM,Evaluate Division,76.1,0.6314695091079937,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,LRU Cache,74.4,0.4521457621314454,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Length of Repeated Subarray,74.4,0.5101333414238255,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
MEDIUM,First Completely Painted Row or Column,72.3,0.6392151838043829,https://leetcode.com/problems/first-completely-painted-row-or-column,"Array, Hash Table, Matrix"
MEDIUM,Meeting Scheduler,71.3,0.5522977372018112,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
MEDIUM,Longest String Chain,71.2,0.6201512673699018,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Find the Duplicate Number,67.4,0.6283577384693005,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Evaluate Reverse Polish Notation,65.8,0.5495024017596329,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Insert Delete GetRandom O(1),64.5,0.54991878709743,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Length of Longest Subarray With at Most K Frequency,61.1,0.5577122271225969,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
MEDIUM,Number of Islands,61.1,0.6231992538801062,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Group Anagrams,58.5,0.7092882008000586,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Validate Binary Search Tree,58.5,0.3438040355108531,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Permutations,58.5,0.8066012553007272,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Binary Tree Zigzag Level Order Traversal,56.3,0.6168283891746636,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Design Circular Queue,53.7,0.5264418953615425,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Search Suggestions System,53.7,0.6505026464247127,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Best Time to Buy and Sell Stock II,53.7,0.6950026730452624,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Combination Sum,52.2,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Maximal Square,47.5,0.4876133314788993,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Count Ways To Build Good Strings,47.5,0.592145182134194,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
MEDIUM,Minimum Height Trees,47.5,0.4201441291148571,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Letter Combinations of a Phone Number,47.5,0.6385753475280027,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Implement Trie (Prefix Tree),47.5,0.6793476261333812,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Perfect Squares,47.5,0.556720955872363,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
MEDIUM,House Robber,47.5,0.5230498335398295,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,3Sum,47.5,0.3707094094916058,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Design Front Middle Back Queue,45.9,0.5626833592193408,https://leetcode.com/problems/design-front-middle-back-queue,"Array, Linked List, Design, Queue, Data Stream"
MEDIUM,Word Search,45.9,0.4526693801123823,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Permutations II,38.9,0.615917727605333,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Rotting Oranges,38.9,0.5661844214336468,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Populating Next Right Pointers in Each Node II,38.9,0.5556620212908557,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Reorganize String,38.9,0.5619634145417838,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Simplify Path,38.9,0.4785434600375143,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Subarray Sums Divisible by K,38.9,0.5561771980621089,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Egg Drop With 2 Eggs and N Floors,38.9,0.7373311247994203,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors,"Math, Dynamic Programming"
MEDIUM,Knight Probability in Chessboard,38.9,0.5659459211311573,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
MEDIUM,Populating Next Right Pointers in Each Node,38.9,0.6544149639689759,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule II,38.9,0.5342350291611208,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Course Schedule,38.9,0.492342885688383,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Increasing Subsequence,38.9,0.5780836795005291,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,"Pow(x, n)",38.9,0.3702318458569988,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Count Number of Maximum Bitwise-OR Subsets,38.9,0.8794639313734468,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,"Array, Backtracking, Bit Manipulation, Enumeration"
MEDIUM,Search a 2D Matrix II,38.9,0.5522251243876155,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Asteroid Collision,38.9,0.455006598482349,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Container With Most Water,38.9,0.5778283165036205,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Paint House,38.9,0.6373080782394743,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Longest Common Subsequence,38.9,0.582494259379739,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Open the Lock,37.1,0.6074109962132491,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,37.1,0.7050715532641945,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
MEDIUM,Koko Eating Bananas,37.1,0.4906730142738797,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Integer to Roman,37.1,0.6861925885666443,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Sliding Window Maximum,100.0,0.4760417141782024,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Count Palindromic Subsequences,100.0,0.3930934242181234,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,98.7,0.4122426484532653,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,LFU Cache,79.8,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Operations to Make Numbers Non-positive,78.1,0.4220088242927589,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
HARD,Minimum Costs Using the Train Line,74.4,0.7759452936444088,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
HARD,Best Position for a Service Centre,74.4,0.3487944380444229,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
HARD,Employee Free Time,71.3,0.7259759595862569,https://leetcode.com/problems/employee-free-time,"Array, Line Sweep, Sorting, Heap (Priority Queue)"
HARD,Serialize and Deserialize Binary Tree,67.4,0.5896946953630543,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Find Servers That Handled Most Number of Requests,65.7,0.4407547923322684,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,"Array, Greedy, Heap (Priority Queue), Ordered Set"
HARD,Parallel Courses III,65.1,0.6674963944974485,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Sudoku Solver,61.1,0.6390866531877745,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Find Median from Data Stream,58.5,0.5327813617707072,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Couples Holding Hands,58.5,0.5839613387880093,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Robot Room Cleaner,58.5,0.7752279751307165,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Merge k Sorted Lists,57.1,0.5677420052593406,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
