Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.4232287331904933,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,100.0,0.5577698935805033,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Rising Temperature,87.9,0.5018287657004238,https://leetcode.com/problems/rising-temperature,Database
EASY,Palindrome Number,77.9,0.5922447925324843,https://leetcode.com/problems/palindrome-number,Math
EASY,Climbing Stairs,69.7,0.5354075759623981,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Find Customer Referee,67.3,0.7170904181686228,https://leetcode.com/problems/find-customer-referee,Database
EASY,Article Views I,67.3,0.7714447529870836,https://leetcode.com/problems/article-views-i,Database
EASY,Longest Common Prefix,67.3,0.4548314437013565,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Best Time to Buy and Sell Stock,67.3,0.5525964364560344,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Majority Element,67.3,0.657403393726359,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Pascal's Triangle,67.3,0.7702154336843631,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Max Consecutive Ones,59.5,0.6248248491626799,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Reverse Linked List,59.5,0.7920658884935761,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Change Null Values in a Table to the Previous Value,100.0,0.5152052486922599,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
MEDIUM,Container With Most Water,100.0,0.5778289005385611,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,100.0,0.3584613594201578,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Second Highest Salary,100.0,0.4386518117872288,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Merge Intervals,89.6,0.4939525616898277,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Time to Repair Cars,87.9,0.5991672990715053,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
MEDIUM,Reverse Integer,77.9,0.3030899221460467,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Managers with at Least 5 Direct Reports,69.7,0.4893967282364401,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Edit Distance,59.5,0.5878980065613459,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Reverse Words in a String,59.5,0.5191333530123619,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Kth Largest Element in an Array,59.5,0.6797700934843032,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Coin Change,59.5,0.4649557971017352,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Longest Substring Without Repeating Characters,59.5,0.3693614405294362,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Merge k Sorted Lists,100.0,0.5677423817534303,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
