Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,68.8,0.5577700123841364,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Two Sorted Lists,60.0,0.6684090455626255,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,53.1,0.6035557381927802,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Next Greater Element I,53.1,0.7451247376157817,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Number of Students Unable to Eat Lunch,53.1,0.7873290271095185,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,"Array, Stack, Queue, Simulation"
EASY,Best Time to Buy and Sell Stock,43.5,0.5525962294861477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Same Tree,43.5,0.6512687632792382,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Last Stone Weight,43.5,0.6592869343167317,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
EASY,Crawler Log Folder,43.5,0.7160418239109896,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
EASY,Majority Element,43.5,0.657403169331404,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Transform Array to All Equal Elements,100.0,0.315568937398068,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy"
MEDIUM,Shortest Bridge,97.5,0.5864849244498144,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Maximum Points You Can Obtain from Cards,93.2,0.5563702302112898,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Minimum Number of Coins to be Added,83.9,0.5669380799091082,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,"Array, Greedy, Sorting"
MEDIUM,Numbers With Same Consecutive Differences,81.5,0.5874121948872566,https://leetcode.com/problems/numbers-with-same-consecutive-differences,"Backtracking, Breadth-First Search"
MEDIUM,Capacity To Ship Packages Within D Days,81.5,0.721177358490566,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Minimum Limit of Balls in a Bag,81.5,0.6729582611405128,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
MEDIUM,Minimum Cost to Reach City With Discounts,81.5,0.5989514378011969,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,"Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Container With Most Water,79.5,0.5778283848079859,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,76.7,0.3693616634121832,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Koko Eating Bananas,75.9,0.4906724085014297,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Asteroid Collision,75.9,0.4550058166209298,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Gas Station,71.5,0.4638362080309398,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Product of Array Except Self,69.7,0.6777996139428187,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Course Schedule,65.4,0.4923440720817781,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,65.4,0.6232001096557939,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
