Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,High Five,78.8,0.7434011552337414,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
EASY,First Unique Character in a String,78.1,0.6369547945291859,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Best Time to Buy and Sell Stock,68.5,0.552596541931788,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Backspace String Compare,64.3,0.4948169719450871,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Two Sum,61.7,0.5577699201817173,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Reformat Date,57.6,0.6733420066288758,https://leetcode.com/problems/reformat-date,String
EASY,Robot Return to Origin,57.3,0.7617030831410564,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
EASY,Design HashMap,53.7,0.6589390156242249,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Consecutive Characters,53.3,0.6021721208645471,https://leetcode.com/problems/consecutive-characters,String
EASY,Power of Three,50.5,0.4802572566132386,https://leetcode.com/problems/power-of-three,"Math, Recursion"
EASY,Check if the Sentence Is Pangram,49.3,0.83848531974997,https://leetcode.com/problems/check-if-the-sentence-is-pangram,"Hash Table, String"
EASY,Valid Parentheses,47.2,0.4232282673732945,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Determine if Two Events Have Conflict,45.6,0.5234865263935031,https://leetcode.com/problems/determine-if-two-events-have-conflict,"Array, String"
EASY,Keep Multiplying Found Values by Two,45.6,0.7133261449808213,https://leetcode.com/problems/keep-multiplying-found-values-by-two,"Array, Hash Table, Sorting, Simulation"
EASY,Climbing Stairs,41.6,0.5354071840932856,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Sqrt(x),40.2,0.4037178689790578,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Pascal's Triangle,40.0,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Linked List Cycle,39.5,0.5257064137920662,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Missing Number,37.0,0.7006535616405187,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Sort Integers by The Number of 1 Bits,34.6,0.7868399685247711,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
EASY,Pascal's Triangle II,34.6,0.6595100107835754,https://leetcode.com/problems/pascals-triangle-ii,"Array, Dynamic Programming"
EASY,Count Number of Pairs With Absolute Difference K,34.6,0.8488583382642377,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
EASY,Merge Two Sorted Lists,32.7,0.6684089645066709,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Implement Stack using Queues,32.7,0.6733897915056893,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
