Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Minimum Operations to Make Columns Strictly Increasing,92.3,0.7199251842887007,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing,"Array, Greedy, Matrix"
EASY,Fizz Buzz,89.9,0.7437057263879774,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Roman to Integer,88.8,0.6486629287856299,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Best Time to Buy and Sell Stock,87.7,0.5525963643174824,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,85.3,0.5577699653967975,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Minimum Absolute Difference,82.3,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Find Pivot Index,80.6,0.6057029910807422,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Type of Triangle,71.7,0.4479472840401572,https://leetcode.com/problems/type-of-triangle,"Array, Math, Sorting"
EASY,Find the Array Concatenation Value,71.7,0.7103725089782409,https://leetcode.com/problems/find-the-array-concatenation-value,"Array, Two Pointers, Simulation"
EASY,Average Value of Even Numbers That Are Divisible by Three,71.7,0.6171273472553038,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math"
EASY,Height Checker,71.3,0.8113928378391797,https://leetcode.com/problems/height-checker,"Array, Sorting, Counting Sort"
EASY,Largest Number After Digit Swaps by Parity,71.3,0.637345576330206,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
EASY,Maximum Units on a Truck,70.8,0.7425030722517598,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
EASY,Longest Common Prefix,69.3,0.454830739997595,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,68.2,0.4232283786055009,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Count Binary Substrings,66.5,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
