Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Words That Can Be Formed by Characters,100.0,0.7106771491390691,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
EASY,Count the Number of Vowel Strings in Range,77.5,0.7351821231161714,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
EASY,Best Time to Buy and Sell Stock,74.6,0.5525965239541591,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,74.6,0.5577699372797245,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Last Stone Weight,68.4,0.6592869343167317,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
EASY,Merge Sorted Array,65.8,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Minimum Absolute Difference,62.0,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Valid Anagram,58.6,0.6666090585307833,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Count Vowel Substrings of a String,57.0,0.7148136172571481,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
EASY,Valid Parentheses,53.0,0.4232283388603495,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Happy Number,50.8,0.5807264413215366,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Reverse Linked List,50.8,0.7920655049010822,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Degree of an Array,46.7,0.5742057825337067,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
EASY,First Unique Character in a String,42.1,0.6369549089916232,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Intersection of Two Arrays,42.1,0.7647431845238689,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Lexicographically Smallest Palindrome,42.1,0.7942312085903587,https://leetcode.com/problems/lexicographically-smallest-palindrome,"Two Pointers, String, Greedy"
EASY,Maximum Population Year,42.1,0.6267903102222048,https://leetcode.com/problems/maximum-population-year,"Array, Counting, Prefix Sum"
EASY,Squares of a Sorted Array,42.1,0.7321924114088272,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Find Pivot Index,37.9,0.6057029910807422,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Path Sum,37.9,0.5300469853162927,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Rotting Oranges,100.0,0.5661841672935807,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Zigzag Conversion,100.0,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Maximal Square,89.0,0.4876133314788993,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Word Search,89.0,0.4526692829987259,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
