Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Reverse Linked List,100.0,0.7920658456913696,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Majority Element,88.5,0.6574031216508412,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Merge Sorted Array,88.5,0.5291955199854382,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Implement Queue using Stacks,87.2,0.6806080152077176,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
EASY,Two Sum,87.2,0.5577700472136351,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,87.2,0.4232284180792206,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Middle of the Linked List,84.9,0.805816977306921,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Number of 1 Bits,84.9,0.7450473237228846,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
EASY,Reverse Bits,84.9,0.6320548865842875,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Climbing Stairs,73.0,0.535407296923177,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Find Winner on a Tic Tac Toe Game,73.0,0.5418363660832548,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
EASY,Is Subsequence,73.0,0.4838251269718944,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Length of Last Word,73.0,0.5631925203539794,https://leetcode.com/problems/length-of-last-word,String
EASY,Palindrome Number,73.0,0.592245432655212,https://leetcode.com/problems/palindrome-number,Math
EASY,Power of Two,73.0,0.4838037051534944,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Remove Duplicates from Sorted Array,73.0,0.6035558142844654,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,First Unique Character in a String,56.6,0.6369548226322246,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Linked List Cycle,56.6,0.5257065185983861,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Maximum Depth of Binary Tree,56.6,0.7713809909365511,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Power of Four,56.6,0.4947101228054184,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
EASY,Rectangle Overlap,56.6,0.4574464867540109,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
EASY,Single Number,56.6,0.7596886810060205,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,String Compression III,100.0,0.6681506980036712,https://leetcode.com/problems/string-compression-iii,String
MEDIUM,Count the Number of Fair Pairs,88.5,0.5291637303813359,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Remove Nth Node From End of List,88.5,0.4896110894757927,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Course Schedule II,87.2,0.5342350029047974,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Design Circular Queue,87.2,0.5264411843359923,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,LRU Cache,87.2,0.4521469230889856,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,87.2,0.6232001329897883,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Rotate Image,87.2,0.7790164128488621,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Swap Nodes in Pairs,84.9,0.6720138170048461,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Best Time to Buy and Sell Stock II,73.0,0.6950029224907471,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Design Memory Allocator,73.0,0.484441262323071,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Longest Substring Without Repeating Characters,73.0,0.3693615989140686,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Subarray,73.0,0.5209980984003728,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,73.0,0.4939523941682344,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Two Sum II - Input Array Is Sorted,73.0,0.6340217734674309,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Design Tic-Tac-Toe,56.6,0.5860173363699457,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Kth Largest Element in an Array,56.6,0.6797704242093222,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
