Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Followers Count,95.3,0.6956128892861001,https://leetcode.com/problems/find-followers-count,Database
EASY,Minimum Changes To Make Alternating Binary String,95.3,0.6370145733299638,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
EASY,Valid Parentheses,84.7,0.4232284155019281,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,77.5,0.5525962946831828,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Decode the Message,74.5,0.8541555470834922,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
EASY,Move Zeroes,74.5,0.6280401658078502,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Maximum Number of Balloons,74.5,0.5973679587648302,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
EASY,Valid Anagram,64.4,0.6666092421226094,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Reverse Linked List,57.1,0.792065721767758,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Find Winner on a Tic Tac Toe Game,57.1,0.5418363660832548,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
EASY,Largest Perimeter Triangle,57.1,0.5736625993768019,https://leetcode.com/problems/largest-perimeter-triangle,"Array, Math, Greedy, Sorting"
EASY,Is Subsequence,57.1,0.4838254413675296,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Missing Number,57.1,0.7006525195037366,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Moving Average from Data Stream,54.1,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.369361704656187,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,100.0,0.4939524622259912,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,100.0,0.6232000863217745,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Basic Calculator II,100.0,0.4581138691872612,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Building H2O,100.0,0.5758696646024687,https://leetcode.com/problems/building-h2o,Concurrency
MEDIUM,Design Circular Queue,86.4,0.5264411843359923,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Letter Combinations of a Phone Number,84.7,0.6385755479764873,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
